date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:58	20919/20919	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:12:54%20GMT	https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI	C:/My%20Websites/his3/www.flippity.net/tlfa84.html	(from )
18:12:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Oct%202020%2010:12:55%20GMT	https://www.flippity.net/robots.txt		(from )
18:12:59	4617/4617	---M--	200	added ('OK')	text/css	etag:%223a11f3-1209-5aae2162e09c0%22	https://www.flippity.net/tl-Style.css	C:/My%20Websites/his3/www.flippity.net/tl-Style.css	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:00	1120/1120	---M--	200	added ('OK')	image/png	etag:%223a11a2-460-599c55037e240%22	https://www.flippity.net/favicon.png	C:/My%20Websites/his3/www.flippity.net/favicon.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:00	6063/6063	---M-Z	200	added ('OK')	text/html	etag:%223a1179-17af-5a3fee9dabb00-gzip%22	https://www.flippity.net/Timeline.htm	C:/My%20Websites/his3/www.flippity.net/Timeline.html	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:01	2314/2314	---M--	200	added ('OK')	image/png	etag:%223a1370-90a-599c51155dc80%22	https://www.flippity.net/images/Flippity-Logo-White.png	C:/My%20Websites/his3/www.flippity.net/images/Flippity-Logo-White.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:01	47927/47927	---M-Z	200	added ('OK')	text/html	etag:%223a11b2-bb37-5ac75cef706c0-gzip%22	https://www.flippity.net/	C:/My%20Websites/his3/www.flippity.net/index.html	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Websites/his3/www.google-analytics.com/analytics.js	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	134128/134128	---MC-	200	added ('OK')	text/javascript	date:Thu,%2015%20Oct%202020%2010:12:57%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Websites/his3/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	2050/2050	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:12:58%20GMT	https://www.flippity.net/error.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI	C:/My%20Websites/his3/www.flippity.net/errorfa84.html	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	1954/1954	---M--	200	added ('OK')	image/png	etag:%223a12b3-7a2-599c50ab822c0%22	https://www.flippity.net/images/Button-Condense.png	C:/My%20Websites/his3/www.flippity.net/images/Button-Condense.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	1907/1907	---M--	200	added ('OK')	image/png	etag:%223a12bd-773-599c50af52bc0%22	https://www.flippity.net/images/Button-Expand.png	C:/My%20Websites/his3/www.flippity.net/images/Button-Expand.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:03	1821/1821	---M--	200	added ('OK')	image/png	etag:%223a1305-71d-599c50d66c800%22	https://www.flippity.net/images/Button-Show-All.png	C:/My%20Websites/his3/www.flippity.net/images/Button-Show-All.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:04	1823/1823	---M--	200	added ('OK')	image/png	etag:%223a12c0-71f-599c50b046e00%22	https://www.flippity.net/images/Button-Hide-All.png	C:/My%20Websites/his3/www.flippity.net/images/Button-Hide-All.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:04	1184/1184	---M--	200	added ('OK')	image/png	etag:%223a1415-4a0-599c537d70a00%22	https://www.flippity.net/images/Share-Icon-Gray.png	C:/My%20Websites/his3/www.flippity.net/images/Share-Icon-Gray.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Oct%202020%2010:13:01%20GMT	https://www.flippity.net/docs.google.com/	C:/My%20Websites/his3/www.flippity.net/docs.google.com/index.html	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:04	463/463	---M--	200	added ('OK')	image/png	etag:%223a13ad-1cf-599c531d1e6c0%22	https://www.flippity.net/images/Link-Icon.png	C:/My%20Websites/his3/www.flippity.net/images/Link-Icon.png	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:05	49887/49887	---MC-	200	added ('OK')	application/javascript	date:Thu,%2015%20Oct%202020%2010:13:01%20GMT	https://apis.google.com/js/platform.js	C:/My%20Websites/his3/apis.google.com/js/platform.js	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:05	1092/1092	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:01%20GMT	https://www.flippity.net/QR.php?u=	C:/My%20Websites/his3/www.flippity.net/QR076c.html	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:05	1524/1524	---M--	200	added ('OK')	image/gif	etag:%223a145e-5f4-59bf69d4ecac0%22	https://www.flippity.net/images/Twitter-Button.gif	C:/My%20Websites/his3/www.flippity.net/images/Twitter-Button.gif	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:06	1439/1439	---M--	200	added ('OK')	image/gif	etag:%223a1387-59f-599c5123abe40%22	https://www.flippity.net/images/Google-Sheets-Icon.gif	C:/My%20Websites/his3/www.flippity.net/images/Google-Sheets-Icon.gif	(from https://www.flippity.net/tl.php?k=18s0AREiMBmrbspGFfWjUUzKXVlGasjCel0VEtZKNVVI)
18:13:06	1225/1225	---M--	200	added ('OK')	text/css	etag:%223a115b-4c9-59dc31a5c6680%22	https://www.flippity.net/Flippity-Instructions-Style.css	C:/My%20Websites/his3/www.flippity.net/Flippity-Instructions-Style.css	(from https://www.flippity.net/Timeline.htm)
18:13:06	3155/3155	---M--	200	added ('OK')	text/css	etag:%223a1164-c53-5aadf258d4f00%22	https://www.flippity.net/Main-Style.css	C:/My%20Websites/his3/www.flippity.net/Main-Style.css	(from https://www.flippity.net/)
18:13:07	3533/3533	---M--	200	added ('OK')	image/png	etag:%223a145f-dcd-599c53a85af40%22	https://www.flippity.net/images/Visual-Tagline.png	C:/My%20Websites/his3/www.flippity.net/images/Visual-Tagline.png	(from https://www.flippity.net/)
18:13:07	1623/1623	---M--	200	added ('OK')	image/png	etag:%223a1442-657-5aadf836de6c0%22	https://www.flippity.net/images/SubNavBG-Big.png	C:/My%20Websites/his3/www.flippity.net/images/SubNavBG-Big.png	(from https://www.flippity.net/)
18:13:07	1023/1023	---M--	200	added ('OK')	image/png	etag:%223a144d-3ff-5aadf837d2900%22	https://www.flippity.net/images/SubNavTabBig-On.png	C:/My%20Websites/his3/www.flippity.net/images/SubNavTabBig-On.png	(from https://www.flippity.net/)
18:13:08	1072/1072	---M--	200	added ('OK')	image/png	etag:%223a144e-430-5aadf837d2900%22	https://www.flippity.net/images/SubNavTabBig.png	C:/My%20Websites/his3/www.flippity.net/images/SubNavTabBig.png	(from https://www.flippity.net/)
18:13:08	8129/8129	---M--	200	added ('OK')	image/png	etag:%223a13fe-1fc1-5a9676ec9d540%22	https://www.flippity.net/images/Screenshot-Flashcards.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-Flashcards.png	(from https://www.flippity.net/)
18:13:08	58024/58024	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:04%20GMT	https://www.flippity.net/fc.php?k=1GY9A3JAEXXdKa8PSByIaU4qYSNZBfXShVuwGP04qr_Y	C:/My%20Websites/his3/www.flippity.net/fcc18e.html	(from https://www.flippity.net/)
